headword,level,toefl,ielts
kindness,B1,0,1
kinetic,C2,1,0
kinetically,C2,0,0
king,A1,1,1
kingdom,A2,1,1
kiss,A1,1,1
kit,A2,0,1
kitchen,A1,1,1
kite,A1,0,1
kitten,B1,0,0
knack,C2,0,0
knee,A1,1,1
kneel,B2,0,1
knife,A1,1,1
knight,B2,0,1
knit,B1,1,1
knob,C1,0,1
knock,A2,1,1
knot,B2,0,1
know,A1,0,1
know-how,B1,0,1
knowingly,B2,0,0
knowledge,A2,1,1
knowledgeable,C1,0,1
known,B2,0,0
lab,B1,1,1
label,B2,1,1
labor/labour,A2,1,1
laboratory,B1,1,0
laborer/labourer,B2,1,1
labour-intensive,C2,0,1
lace,B2,1,1
lack,A2,1,1
lackluster/lacklustre,C1,0,0
lad,B2,0,1
ladder,B1,0,1
lady,A1,1,1
lag,B2,1,1
lake,A2,1,1
lamb,B1,0,1
lame,B2,0,1
lament,C2,0,0
lamentation,C2,0,0
lamp,A2,1,1
lance,B2,0,0
land,B1,1,1
landed,B2,0,1
landing,B2,1,1
landlady,B2,0,1
landlord,B1,1,1
landmark,B2,1,0
landscape,A2,1,1
landslide,B2,1,0
lane,A2,1,1
language,A1,0,1
lantern,C1,0,1
lap,B2,0,1
lapse,C1,1,1
laptop,B2,0,0
large,A1,0,1
largely,B1,1,1
lark,B2,0,1
larva,C1,1,0
laryngitis,C2,0,0
laser,B2,1,1
lash,B2,1,0
lassitude,C2,0,0
last,B1,0,1
last minute,B2,0,0
last name,A1,0,0
last-minute,B2,0,0
lasting,B1,1,1
lastly,B2,0,0
late,A1,0,1
latecomer,B1,0,0
lately,B1,0,1
latent,C1,1,1
later,B2,1,1
lateral,B1,1,1
latest,A2,0,0
lathe,C1,1,1
latin,B1,0,1
latitude,B2,1,1
latter,B2,1,1
lattice,B2,1,1
laud,C2,1,0
laudatory,C2,1,0
laugh,B1,1,1
laughter,B1,1,1
launch,B1,1,1
laundry,B2,1,1
lava,B2,1,0
lavatory,C1,0,1
lavish,C1,1,0
law,A2,0,1
lawful,B1,0,1
lawmaker,B2,1,0
lawn,B2,1,1
lawsuit,B2,1,0
lawyer,A2,1,1
lay,B1,1,1
layabout,B2,0,0
layer,B1,1,1
layout,C1,1,1
laziness,A2,0,1
lazy,A1,1,1
lead,B1,0,0
leader,A1,1,1
leadership,B1,1,1
leading,B1,1,1
leaf,A1,1,1
leaflet,B2,1,1
league,B1,1,1
leak,B2,1,1
leakage,B2,0,1
lean,B1,1,1
leap,B2,1,1
learn,A1,0,1
learned,B1,0,1
learner,A2,0,1
learning,B2,0,1
lease,B2,1,1
leash,B2,0,0
least,B1,0,1
leather,A2,1,1
leave,B1,0,1
leaven,C2,1,0
leavening,C2,0,0
lecture,B1,1,1
lecturer,B2,1,1
ledge,B2,1,0
leek,B2,0,0
leeway,C1,0,1
left,A1,1,1
left-hand,A2,0,0
left-handed,C2,1,1
leftover,C1,0,1
leg,A1,1,1
legacy,C1,1,0
legal,B1,1,1
legally,B1,0,0
legend,B2,1,1
legendary,B2,1,1
legion,C2,0,0
legislate,B2,1,0
legislation,B2,1,1
legislative,B2,1,0
legislator,B2,1,0
legislature,B2,1,0
legitimate,B2,1,1
leisure,A2,1,1
leisurely,B2,0,0
lemon,A2,0,1
lemonade,A2,0,1
lend,A2,1,1
length,B1,1,1
lengthen,B2,1,1
lengthy,B2,1,0
leninism,C1,0,1
lens,B1,1,1
leopard,B2,1,1
less,A2,0,1
lessen,B1,0,1
lesser,B2,1,0
lesson,A1,1,1
lest,B2,0,1
let,A1,0,1
lethargic,C1,1,0
lethargically,C1,0,0
lethargy,C1,1,0
letter,A1,0,1
lettuce,B1,1,0
level,B1,0,1
lever,B2,1,1
levy,B2,1,1
lexical,C1,1,0
liability,C1,1,1
liable,C1,1,1
liaise,C2,0,0
liaison,C1,0,0
liar,B1,0,1
liberal,B2,1,1
liberate,B1,1,1
liberation,B1,0,1
liberty,A2,1,1
librarian,B1,1,1
library,A1,1,1
license/licence,A2,1,1
lichen,C1,1,0
lick,B2,1,1
lid,B2,1,1
lie,B1,1,1
lieutenant,B2,0,1
life,A1,0,1
lifeguard,B1,0,0
lifeless,B2,0,0
lifelong,B1,1,0
lifestyle,A2,1,0
lifetime,B2,1,1
lift,B1,1,1
light,A1,0,1
lighten,B2,0,1
lighter,B1,0,1
lighthouse,C1,1,1
lighting,B2,0,0
lightly,B1,0,1
lightning,B1,0,1
like,B1,0,1
likelihood,C1,1,1
likely,A2,1,1
likeness,B1,0,1
likewise,B2,1,1
liking,B2,1,1
lily,A1,0,1
limb,B2,1,1
limestone,B2,1,1
limit,B1,1,1
limitation,B1,1,1
limited,B1,0,1
limitless,C1,0,0
limner,C2,1,0
limousine,C1,0,1
limp,B1,0,1
line,A1,0,1
linear,C1,1,1
linearly,C1,0,0
linen,B2,1,1
liner,B2,1,1
ling,B2,0,0
linger,B2,1,1
linguist,C1,1,1
linguistic,B2,1,0
linguistics,B2,1,1
lining,B2,0,1
link,B1,1,1
lion,A1,1,1
lioness,C1,0,1
lip,A2,1,1
lipid,C1,1,0
lipstick,C1,0,1
liquid,B1,1,1
liquor,B2,1,1
list,A1,1,1
listen,A1,1,1
listener,B2,1,1
listless,C1,1,0
liter/litre,A2,1,1
literacy,C1,1,1
literal,B2,1,1
literally,B2,1,1
literary,B1,1,1
literate,C2,1,1
literature,B1,1,1
lithosphere,C2,1,0
litter,B2,1,1
little,A1,0,1
live,B1,0,1
livelihood,B2,1,1
lively,A2,1,1
liver,B1,1,1
livestock,B2,1,1
living,A1,0,0
living room,A1,0,0
living-room,A1,0,1
lizard,A2,1,0
load,A2,1,1
loaf,B1,0,1
loan,B2,1,1
lobby,B2,1,1
lobster,C1,1,1
local,A2,0,1
locality,B2,1,1
locally,B1,1,0
locate,B1,1,1
location,B1,1,1
lock,A2,1,1
lock-up,B1,0,1
locomotion,C2,1,0
locomotive,C2,1,1
locus,C1,1,0
locust,C1,0,1
lodge,B1,1,1
lodging,B2,1,1
lofty,B2,0,1
log,B1,1,1
logic,B1,1,1
logical,A2,1,1
logo,B1,0,0
loiter,C2,0,0
lone,B2,1,0
loneliness,B2,1,1
lonely,A1,0,1
lonesome,C1,0,1
long,A1,0,1
long-distance,B2,0,0
long-term,B2,0,1
longevity,C2,1,1
longing,C2,1,1
longitude,C1,1,1
longitudinal,C1,1,0
look,A1,0,1
loom,C1,1,1
loop,B1,1,1
loose,A2,1,1
loosely,B2,1,0
loosen,C2,1,1
lord,B2,1,1
lorry,B1,0,1
lose,A2,0,1
loss,B1,1,1
lost,A2,0,1
lot,A1,0,1
lottery,B1,0,1
loud,B1,1,1
loudly,A2,0,0
loudspeaker,B1,0,1
lounge,C1,0,1
lousy,B2,0,0
love,A1,0,1
loveable,C1,0,1
lovely,A1,1,1
lover,A2,1,1
lovingly,B1,0,0
low,A2,0,1
lower,B2,0,1
lowland,B2,0,0
loyal,B1,1,1
loyalty,B1,1,1
lubricate,C1,0,1
lubrication,C1,1,1
luck,A1,1,1
luckily,A2,1,0
lucky,A1,1,1
lucrative,B2,1,0
ludicrous,C1,1,0
ludicrously,C1,0,0
luggage,B1,0,1
lumber,C2,1,1
luminous,B2,1,1
lump,C2,1,1
lunar,C1,1,1
lunch,A1,1,1
luncheon,C1,0,1
lunchtime,A2,0,0
lung,B1,1,1
lure,B2,1,0
lurid,C2,1,0
luridly,C2,0,0
lush,B2,0,0
lust,C1,1,0
luxurious,B2,1,1
luxury,B2,1,1
lyric,A2,1,0
lyrical,C2,0,0
lyrically,C2,1,0
lyricist,C2,1,0
lyrics,B2,0,0
MA,B2,1,0
macabre,C1,0,0
machine,A1,1,1
machinery,C1,1,1
mackintosh,C2,0,1
macroeconomics,C1,0,1
mad,A2,1,1
madam,B2,0,0
madame,B2,0,0
madman,C1,0,1
madness,B2,0,1
maelstrom,C2,0,0
maestro,B2,0,0
magazine,A1,1,1
maggot,C2,0,0
magic,A2,1,1
magical,B1,1,0
magician,B1,1,1
magistrate,C1,0,1
magma,B2,1,0
magnanimity,C2,0,0
magnanimous,C2,1,0
magnanimously,C2,0,0
magnate,C2,1,0
magnesium,C1,1,0
magnet,B2,1,1
magnetic,C1,1,1
magnetically,C1,0,0
magnetism,C1,1,1
magnificent,B1,1,1
magnify,B2,1,1
magnitude,B1,1,1
magpie,C2,0,0
maid,B2,0,1
maiden,B2,0,1
mail,A1,1,1
mailbox,B1,0,1
main,B1,0,1
main course,A2,0,0
mainland,B2,1,1
mainly,A2,1,1
mainstream,C2,0,1
maintain,B1,1,1
maintenance,B1,1,1
maize,B2,1,1
majestic,B2,1,0
majesty,B2,1,1
major,A2,0,1
majority,B1,1,1
make,B2,0,0
make-up,A2,1,1
maker,A2,1,1
makeshift,C2,0,1
makeup,A2,1,0
malady,B2,1,1
malaise,B2,0,1
malaria,B2,1,1
male,B1,1,1
malfunction,C1,0,0
malice,C2,0,1
malicious,C2,0,1
maliciously,C2,0,0
mall,A2,1,0
malleability,C2,0,0
malleable,C2,1,0
mama/mamma,B2,0,0
mammal,B1,1,0
mammalian,C1,1,0
mammoth,B2,1,0
man,A1,0,1
manage,A2,1,1
management,B1,1,1
manager,A2,1,1
managerial,B2,0,1
mandate,C1,1,0
maneuver/manoeuvre,C1,1,0
mangle,C2,0,0
mango,B2,0,0
manhood,B2,0,1
manicure,C1,0,0
manifest,B1,1,1
manifestation,B2,1,1
manifesto,B2,1,1
manipulate,B2,1,1
manipulation,C1,1,1
mankind,B1,0,1
manly,C1,0,1
manner,A2,1,1
mansion,B2,1,1
manual,B2,1,1
manufacture,B2,1,1
manufacturer,B2,1,1
manufacturing,B2,0,0
manuscript,B1,1,1
many,A1,0,1
map,A1,1,1
maple,B1,0,1
marathon,B2,0,0
marble,B1,1,1
March,A1,1,1
margin,B2,1,1
marginal,C1,1,1
marginally,C1,0,0
marine,B1,1,1
mariner,C2,0,1
maritime,B2,1,0
mark,A2,1,1
mark-up,C1,0,0
marked,B1,0,1
marker,B1,1,0
market,A2,0,1
marketability,C2,0,0
marketable,C1,0,1
marketing,B2,0,1
marketplace,B1,1,1
marking,B2,0,1
marriage,B1,1,1
married,A2,0,1
marrow,C1,1,0
marry,A2,1,1
marsh,C1,1,1
marshal,C1,0,1
martial art,B2,0,0
martyr,B2,0,1
marvel,C1,1,1
marvelous/marvellous,A2,1,1
marxism,B2,0,1
marxist,B2,0,1
masculine,C1,0,1
mash,B1,0,0
mask,B2,1,1
mason,B2,1,0
mass,B1,1,1
massacre,B2,1,1
massage,B2,0,1
masseur,B2,0,0
massive,B1,1,1
mast,B2,0,1
master,B2,1,1
masterpiece,B2,1,1
mastery,B2,1,0
mat,C1,1,1
match,A1,1,1
mate,B2,1,0
material,A2,1,1
materialism,C2,0,1
materialistic,C2,0,0
materialization/materialisation,C2,0,0
materialize/materialise,C2,1,1
maternal,C1,1,0
maternalistic,C1,0,0
math/maths,A1,0,1
mathematical,B2,1,1
mathematician,B1,0,1
mathematics,B1,1,1
matinee,C2,1,1
matrix,C1,1,0
matter,A1,1,1
mattress,B2,0,1
mature,B2,1,1
maturity,B2,0,1
maté,B1,0,1
mausoleum,B2,1,0
maverick,C2,1,0
max,A2,0,0
maximise,C2,0,1
maximize,B2,1,0
maximum,B1,1,1
may,A1,0,1
maybe,A1,0,1
mayor,B1,1,1
me,A1,0,0
meadow,B2,0,1
meager/meagre,C2,1,0
meal,A1,1,1
mean,A2,0,1
meander,C1,1,0
meaning,A2,0,1
meaningful,B1,1,0
meaningless,C1,0,0
meaninglessly,C1,0,0
means,B2,0,1
meantime,B2,1,1
meanwhile,B1,1,1
measure,B1,1,1
measurement,B1,1,1
meat,A1,1,1
mechanic,B1,1,1
mechanical,B1,1,1
mechanically,B2,0,1
mechanics,B2,1,1
mechanism,C1,1,1
mechanize/mechanise,B2,0,0
medal,A2,0,1
media,B2,1,0
mediate,C2,1,0
mediation,C2,0,0
medical,A2,1,1
medication,B2,0,0
medicine,A1,1,1
medieval/mediaeval,B2,1,1
mediocre,B2,1,0
mediocrity,C2,0,0
meditate,B1,0,1
meditation,B1,1,1
Mediterranean,B1,0,1
medium,B1,1,1
meek,C1,0,1
meet,A1,0,1
meeting,A1,0,1
melancholy,C2,1,1
melodious,C2,1,0
melodiously,C2,0,0
melody,B2,1,1
melon,A2,0,1
melt,B1,1,1
member,A2,0,1
membership,B1,1,1
membrane,C1,1,0
memo,C1,1,1
memoir,C1,0,1
memorable,B1,1,0
memorial,B2,1,1
memorize/memorise,B1,1,1
memory,A1,1,1
menace,C2,1,1
menacing,C2,0,0
menacingly,C2,0,0
mend,B1,1,1
menial,C2,0,0
mental,B1,1,1
mentality,C1,1,1
mentally,B1,0,0
mention,A2,1,1
mentor,B2,1,0
menu,A2,1,1
mercantile,C2,1,1
mercenary,C2,1,0
merchandise,B2,1,1
merchant,B1,1,1
merciful,C2,1,1
merciless,C1,1,0
mercury,B2,1,1
mercy,B2,1,1
mere,B1,1,1
merely,B1,1,1
merge,B2,1,1
merger,B2,1,0
merit,C2,1,1
mermaid,C1,0,1
merry,A1,0,1
mesh,C2,0,1
mesmeric,C2,0,0
mesozoic,C2,1,0
mess,B1,1,1
message,A1,1,1
message board,B1,0,0
messenger,B2,1,1
messy,B1,0,0
metabolism,C1,1,0
metal,A2,1,1
metalled,C2,0,0
metallic,B2,0,1
metallurgy,C1,1,1
metaphor,B2,1,0
meteorite,B2,1,0
meteorological,C2,0,0
meteorologist,C1,1,0
meteorology,C2,1,0
meter/metre,A2,1,1
methane,C1,1,0
method,A2,1,1
methodical,C1,0,0
methodological,C2,0,0
methodologically,C2,0,0
methodology,C2,1,1
meticulous,C2,1,1
meticulously,C2,0,1
metric,B2,1,1
metropolis,C1,1,0
metropolitan,B2,1,1
mexican,B2,0,1
mice,A2,0,1
micro,B2,1,0
microbe,B2,1,0
microcomputer,B2,0,0
microeconomics,C1,0,1
micrometer/micrometre,B2,1,0
microorganism,B2,0,0
microphone,B2,1,1
microprocessor,C1,0,1
microscope,B2,1,1
microscopic,B2,1,0
microscopy,B2,1,0
microwave,B2,1,1
mid,B1,1,0
midair,B2,1,0
midday,A2,0,1
middle,A1,1,1
middle-aged,B1,0,0
middleman,C1,0,1
middling,C1,0,1
midnight,A2,1,1
midst,B2,0,1
midwife,C1,1,0
midwifery,C2,0,0
mien,C2,1,0
might,A2,0,1
mighty,B2,1,1
migrant,B2,1,1
migrate,C1,1,1
migration,B2,1,1
mild,B1,1,1
mile,B1,1,1
mileage,C1,1,1
milestone,C1,1,1
milieu,C2,0,0
military,A2,1,1
militia,B2,1,1
milk,A1,1,1
milkman,C1,0,1
milky,C1,1,1
mill,B2,1,1
millennium,B2,1,0
miller,C1,0,1
millimeter/millimetre,B2,1,1
million,A2,0,1
millionaire,B2,1,1
mimic,B2,1,0
mince,C1,0,1
mincer,C2,0,1
mind,A1,0,1
mine,B2,1,1
minefield,C2,0,0
miner,C1,1,1
mineral,B1,1,1
mineral water,A2,0,0
mingle,C1,1,1
miniature,B2,1,1
minicomputer,C2,0,1
minimal,B2,1,0
minimize/minimise,B1,1,1
minimum,B1,1,1
minister,B2,1,1
ministry,C1,1,1
minor,B1,1,1
minority,B1,1,1
minster,C2,0,0
mint,B2,1,1
minus,B1,1,1
minuscule,C1,1,0
minute,A1,1,1
minutely,C1,1,0
minutiae,C1,0,0
miracle,B1,1,1
miraculous,B2,1,1
mirror,A2,1,1
miscarriage,C1,0,1
miscarry,C2,0,1
mischief,B1,0,1
misconception,B2,0,0
misdemeanor/misdemanour,C2,1,0
miser,C1,1,1
miserable,B1,1,1
misery,B1,0,1
misfortune,B2,1,1
misgiving,C1,0,1
mishandle,C2,0,1
mishap,C2,1,1
misinterpret,C2,1,1
mislead,B1,1,1
misleading,B2,1,0
misplace,C1,1,0
Miss,A1,1,1
missile,B2,1,1
missing,A2,0,1
mission,B1,1,1
missionary,B2,0,1
mist,B2,0,1
mistake,A2,1,1
mistaken,C1,0,1
mistreat,B2,0,0
mistress,B2,0,1
mistrustful,B2,0,0
misty,B1,1,1
misunderstand,B2,1,1
misunderstanding,B1,0,1
mitten,C2,0,1
mix,B2,1,1
mixer,C1,0,1
mixing bowl,B1,0,0
mixture,B2,1,1
moan,C2,0,1
mob,B2,0,1
mobile,A2,1,1
mobile phone,A1,0,0
mobilise,B2,0,1
mobility,B2,1,0
mock,B2,1,1
modal verb/modal,B1,0,0
mode,C1,1,1
model,B1,0,1
modem,B1,1,0
moderate,B1,1,1
moderately,B2,0,1
modern,A2,1,1
modernism,C2,0,0
modernization/modernisation,B2,0,1
modernize/modernise,B2,1,1
modest,B2,1,1
modesty,B2,0,1
modification,B2,1,1
modify,B1,1,1
modulate,C1,1,1
module,B2,1,1
mogul,B2,0,0
moist,B2,1,1
moisture,B1,1,1
mold/mould,B2,1,1
mole,B2,1,0
molecular,B2,1,1
molecule,B1,1,1
mom,A1,1,0
moment,A1,1,1
momentarily,B2,0,0
momentary,B2,1,1
momentous,B2,1,1
momentum,B2,1,0
mommy/mommie,A1,0,0
monarch,B2,1,1
monastery,B2,1,1
monastic,C2,0,0
Monday,A1,0,1
monetary,C2,1,1
money,A1,0,1
monitor,B1,1,1
monk,B1,1,1
monkey,A1,1,1
monochrome,C1,1,0
monopolize,C1,1,1
monopoly,C2,1,1
monotonous,C1,1,1
monotonously,C1,0,0
monotony,C1,1,1
monster,B1,1,1
monstrous,B2,0,1
month,A1,0,1
monthly,B1,1,1
monument,B1,1,1
monumental,B2,1,1
mood,A2,1,1
moody,B2,0,0
moon,A1,1,1
moonlight,B2,0,1
moonscape,B2,0,0
moor,C2,0,1
mop,C1,0,1
moral,B2,1,1
morale,C2,1,1
morality,B2,1,1
morally,B2,0,0
more,B1,0,1
moreover,B1,1,1
moribund,C2,1,0
morning,A1,0,1
morphological,C2,1,0
morphology,C1,1,0
mortal,B2,1,1
mortality,B2,1,0
mortar,B2,1,0
mortgage,B2,1,0
mortify,B2,0,0
mosaic,B2,1,0
mosque,A2,0,1
mosquito,B1,0,1
moss,B1,1,1
most,A2,0,1
mostly,A2,1,1
motel,C1,0,1
moth,C1,1,1
mother,A1,0,1
mother-in-law,B2,0,0
motherland,B1,0,0
motif,C1,1,0
motion,B2,1,1
motionless,B1,1,1
motivate,B1,1,1
motivated,B2,0,0
motivation,B1,1,1
motive,B1,1,1
motley,C1,1,0
motor,B1,1,1
motorbike,B2,0,0
motorcar,C2,0,1
motorcycle,B1,0,1
motorist,B2,0,1
motorway,A2,0,1
mottled,C2,0,0
motto,B1,1,1
mound,B2,1,0
mount,B1,1,1
mountain,A1,1,1
mountaineer,C1,1,0
mountainous,B2,1,1
mountaintop,B1,0,0
mourn,B1,0,1
mournful,B2,1,1
mourning,B2,1,1
mouse,A1,1,0
mouth,A1,1,1
mouthful,C1,1,1
move,A1,0,1
movement,B1,1,1
mover,B2,0,0
movie,A1,1,1
moving,B2,0,0
MP3 player,A2,0,0
Mr./Mr,A1,0,0
Mrs./Mrs,A1,0,0
Ms./Ms,A2,0,0
much,A1,0,1
mud,B1,1,1
muddy,B2,0,1
muffle,C1,1,1
muffler,C2,0,1
mug,A2,0,1
mule,B1,0,1
mull over,C2,0,0
multi,B1,1,0
multinational,B2,1,0
multiple,B2,1,1
multiplication,B2,0,1
multiply,B2,1,1
multitude,B2,1,1
mum,A1,0,0
mumble,B2,0,1
mumps,C1,0,1
munch,C1,0,0
mundane,C1,1,0
mundanity,C2,0,0
municipal,C1,1,1
munificence,C2,1,0
mural,B2,1,0
murder,A2,1,1
murderer,B1,0,1
murmur,B2,0,1
muscle,B1,1,1
muscle-bound,C2,0,0
muscular,C1,1,1
muse,B2,0,1
museum,A2,1,1
mushroom,A2,1,1
music,A1,0,1
musical,A2,1,1
musician,A1,1,1
Muslim,C1,0,1
must,A1,0,1
mustache/moustache,B2,0,1
mustard,B1,0,1
mutability,B2,0,0
mutable,B2,0,0
mutation,C1,1,0
mute,B2,0,1
mutinous,C2,0,0
mutinously,C2,0,0
mutter,B2,0,1
mutton,B2,0,1
mutual,B1,1,1
mutually,C1,0,0
my,A1,0,0
myriad,C2,1,1
myself,A2,1,1
mysterious,A2,1,1
mystery,A2,1,1
mystic,B2,1,1
mystify,B2,0,0
mystique,C2,0,0
myth,B1,1,1
mythological,C1,0,0
mythology,C1,1,1
nail,B1,1,1
naive,C1,0,1
naively,C1,0,0
naivety,C1,0,0
naked,B1,1,1
name,A1,0,1
nameless,C1,1,1
namely,C1,1,1
namesake,C1,0,1
nano,B2,0,0
nap,B1,0,1
napkin,A2,0,1
narcissistic,B2,0,0
narrate,B1,1,1
narration,B2,1,1
narrative,B1,1,0
narrator,B2,1,1
narrow,B1,1,1
narrowly,B2,0,0
nascent,C2,0,0
nasty,B1,1,0
nation,A2,1,1
national,A2,1,1
nationalism,B2,1,0
nationalist,B1,0,0
nationality,A1,1,1
nationwide,B2,1,0
native,A2,1,1
native speaker,B2,0,0
natural,A2,1,1
naturally,B1,1,1
naturalness,C1,0,0
nature,A2,1,1
naughty,B2,0,1
nausea,B2,1,1
naval,B2,1,1
navel,C1,1,1
navigable,C1,1,1
navigate,B2,1,0
navigation,B2,1,1
navy,B2,0,1
navy blue,B1,0,0
near,B1,0,1
nearby,B1,1,1
nearly,A2,1,1
neat,B2,1,1
nebula,C1,1,0
necessarily,B2,1,1
necessary,A2,1,1
necessitate,B2,1,1
necessity,B2,1,1
neck,A1,1,1
necklace,B1,0,1
nectar,B1,1,0
need,A1,0,1
needful,C1,0,1
needle,B1,1,1
needless,B2,0,1
needlework,C1,1,0
needy,B2,1,1
negate,B2,1,1
negation,B2,1,1
negative,A2,1,1
negatively,B2,0,0
neglect,B2,1,1
neglectful,C1,1,0
negligence,C2,1,1
negligent,C1,1,1
negligently,C1,0,0
negligible,C1,1,1
negotiable,C1,1,1
negotiate,B1,1,1
negotiation,B1,1,1
neighbor/neighbour,A1,1,1
neighborhood/neighbourhood,B1,1,1
neighboring/neighbouring,B2,0,1
neither,B2,1,1
neoclassical,C2,1,0
neophyte,C2,1,0
nephew,B1,0,1
nerve,B2,1,1
nerves,B2,0,0
nervous,A2,1,1
nervously,B2,0,0
nervousness,B1,0,0
ness,B1,0,0
nest,C2,1,1
nestle,C1,1,1
net,A2,1,1
netsurfer/net surfer,B2,0,0
network,B1,1,1
neural,C1,1,0
neuron,C1,1,0
neurosis,B2,0,0
neutral,B1,1,1
neutrality,B2,0,1
neutralization/neutralisation,C1,0,0
neutralize/neutralise,C1,1,0
neutron,C1,1,1
never,A1,0,1
nevertheless,B1,1,1
new,A1,0,1
newborn,B1,0,0
newcomer,B1,1,0
newly,B1,1,0
news,A1,1,1
newscaster,B2,0,0
newspaper,A1,1,1
newsworthy,B2,0,0
next,A2,0,1
next door,B1,0,0
next to,A2,0,0
next-door,B1,0,0
nice,A1,1,1
nicely,B2,1,0
niche,C1,1,0
nickel,B2,1,1
nickname,B1,1,1
niece,B1,0,1
nigh,C2,0,0
night,A1,0,1
nightclub,B2,0,0
nightgown,C1,0,1
nightingale,C1,0,1
nightlife,B1,0,0
nightmare,B2,0,1
nine,A1,1,1
nineteen,A1,1,1
ninety,A1,0,1
ninth,A2,0,1
nitrogen,B2,1,1
no,A1,0,0
no one,A2,0,0
nobility,B2,0,1
noble,B2,1,1
nobleman,B2,0,0
nobody,A2,1,1
nocturnal,C1,1,0
nod,B1,0,0
node,C1,1,0
noise,A1,1,1
noisily,B1,0,0
noisy,A2,1,1
nomad,B2,1,0
nomadic,B2,1,0
nominal,B2,1,1
nominate,C1,1,1
nomination,B2,1,1
nominee,B2,1,0
non,B1,1,0
non-smoking,B2,0,0
nonchalant,C2,0,0
nonchalantly,C2,0,0
nondescript,C1,1,0
none,B1,1,1
nonetheless,B1,1,0
nonlinear,C2,1,0
nonprofessional,B2,0,0
nonsense,B1,1,1
noon,A2,0,1
nor,B1,1,1
norm,C1,1,1
normal,A2,1,1
normalisation,C1,0,1
normalise,C1,0,1
normally,B1,1,1
norms,C1,0,0
north,A2,1,1
northeast,B1,1,1
northeastern,B1,0,0
northern,B1,1,1
northward,B2,0,1
northwest,B1,1,1
northwestern,B1,0,0
nose,A1,1,1
nostalgia,C2,1,0
nostalgic,C2,0,0
nostalgically,C2,0,0
nostril,B2,1,1
not,A1,0,1
notable,C1,1,1
notably,C1,1,1
notation,C1,1,0
note,A1,1,1
notebook,A1,0,1
noted,A2,0,1
nothing,A1,0,1
notice,A2,1,1
noticeable,B1,1,1
noticeboard,B1,0,0
notification,B2,0,1
notify,C1,0,1
notion,B1,1,1
notoriety,C2,0,0
notorious,B1,1,1
notoriously,C2,1,0
notwithstanding,C1,1,1
nought,B2,0,1
noun,A2,1,1
nourish,B2,1,1
nourishing,B2,1,0
nourishment,B2,1,1
novel,A2,1,1
novelette,C2,0,1
novelist,B1,0,1
novelty,B2,1,1
November,A1,0,1
novice,B2,1,0
now,A1,0,1
nowadays,A2,1,1
nowhere,B1,1,1
noxious,C2,1,0
nuclear,B1,1,1
nucleus,B1,1,1
nuisance,B2,1,1
null,B2,1,1
nullify,C1,0,1
numb,C1,0,0
number,A1,0,1
numerical,B2,1,1
numerous,B1,1,1
nun,B2,0,1
nurse,A1,1,1
nursery,B2,1,1
nut,B2,1,1
nutrient,B1,1,0
nutrition,B1,1,0
nutritious,B1,1,0
nutshell,B2,0,0
nylon,C1,0,1
o'clock,A1,0,1
oak,A2,1,1
oar,C1,0,1
oath,B2,1,1
obedience,B2,0,1
obedient,B2,1,1
obey,B2,0,1
obituary,B2,1,0
object,B1,1,1
objection,B1,1,1
objective,B2,1,1
obligation,B2,1,1
oblige,C1,1,1
oblique,C2,1,0
obliterate,C1,1,1
oblong,C1,1,1
obscure,C1,1,1
obscurely,C1,0,0
observance,B2,1,1
observation,B1,1,1
observatory,B2,1,0
observe,B1,1,1
observer,B2,1,1
obsess,B2,1,0
obsession,B2,1,0
obsessive,B2,0,0
obstacle,B1,1,1
obstinate,C1,0,1
obstruction,B2,1,1
obtain,B1,1,1
obtainable,B2,1,1
obvious,B1,1,1
obviously,B1,1,1
occasion,B1,1,1
occasional,B1,1,1
occasionally,B1,1,1
occidental,C1,0,1
occupant,C1,1,0
occupation,A2,1,1
occupational,C1,0,0
occupy,B1,1,1
occur,B1,1,1
occurrence,C1,1,1
ocean,B1,1,1
oceanography,C2,0,1
October,A1,0,1
octogenarian,C2,1,0
odd,B2,1,1
oddity,C1,1,0
odor,B1,1,0
odour,C2,0,1
of,A1,0,0
off,A1,1,1
offend,B2,0,1
offender,B2,0,0
offense/offence,B2,1,1
offensive,B1,1,1
offer,A2,0,1
offering,B1,0,1
offhand,B2,1,0
office,A1,0,1
officer,A1,1,1
official,A2,1,1
officially,B1,1,0
offset,C2,1,1
offshore,B2,1,0
offspring,C1,1,1
often,A1,0,1
oil,A2,1,1
oily,B1,0,0
ointment,B2,1,0
OK/okay,A1,1,0
old,A1,0,1
old-fashioned,B1,0,0
olfactory,C2,1,0
olive,B2,0,1
olive oil,A2,0,0
Olympia,B2,0,0
Olympiad,B2,0,0
Olympic,A2,0,0
Olympics,A1,0,0
omelet/omelette,A2,0,0
omen,C1,0,1
ominous,B2,1,1
omission,B2,1,1
omit,C1,1,1
on,A2,0,0
once,A1,0,1
one,A1,0,0
oneself,B1,0,1
ongoing,B2,1,0
onion,A2,1,1
online,A2,1,0
only,A1,0,1
onset,B1,1,1
onstage,B1,0,0
onto/on to,B1,1,0
onward,C1,0,1
onwards,B2,1,0
ooze,C1,1,0
opacity,C2,0,0
opal,C1,0,1
opaque,C2,1,1
open,A1,0,1
opener,C1,0,1
opening,B1,0,1
openly,B2,1,0
opera,A1,1,1
operate,A2,1,1
operation,B1,1,1
operational,B1,0,1
