headword,level,toefl,ielts
amends,C1,0,1
American,A2,0,1
amiable,C1,0,1
amicable,C1,1,1
amid,C1,1,1
amino,C1,1,0
ammonia,B2,0,0
ammunition,B2,0,1
among,A2,0,1
amongst,B2,1,0
amorphous,C2,1,0
amorphously,C2,0,0
amount,B1,1,1
ampere,C1,1,1
ample,B2,1,1
amplification,C1,1,1
amplifier,B2,0,1
amplify,B2,1,1
amplitude,C1,1,0
amply,C1,1,0
amuse,B2,0,1
amused,A2,0,0
amusement,A2,1,1
amusing,B1,0,0
an,A1,0,0
analogue,B2,0,1
analogy,B2,1,1
analysis,B1,1,1
analyst,B2,1,0
analytical,C1,0,1
analyze/analyse,B1,1,1
anarchic,C2,0,0
ancestor,A2,1,1
anchor,B2,0,1
anchorage,B2,0,0
anchored,C1,0,0
anchorman,B2,0,0
anchorperson,B2,0,0
ancient,A2,1,1
and,A1,0,1
anecdote,B2,1,1
angel,A2,0,1
anger,B1,1,1
angle,B1,1,1
angrily,A2,0,0
angry,A1,1,1
angst,C2,0,0
angsty,C2,0,0
anguish,B2,0,0
angular,C2,1,1
angularity,C2,0,0
animal,A1,1,1
animate,B2,1,1
animated,B1,0,0
animatedly,C1,0,0
animation,B1,0,1
ankle,A2,0,1
annex,C2,1,1
anniversary,A2,0,1
announce,B1,1,1
announcement,B1,1,1
announcer,C1,1,1
annoy,A2,1,1
annoyance,B1,0,1
annoyed,B1,0,0
annoying,A2,1,0
annual,B1,1,1
annually,B1,1,1
anonymity,C2,0,0
anonymous,B2,1,0
another,A1,0,1
answer,A1,0,1
ant,B1,1,1
antagonism,B2,1,1
antagonist,B2,0,1
antagonize,C1,1,0
antarctic,C1,1,1
Antarctica,A2,1,0
antecedent,B2,1,1
antediluvian,C2,1,0
anthology,C2,1,0
anthropological,C2,0,0
anthropologically,C2,0,0
anthropologist,C1,0,0
anthropology,C1,1,0
anti,B1,1,0
antiaircraft,B2,0,0
antibacterial,B2,0,0
antibiotic,C2,1,1
antibody,C1,1,0
anticancer,B2,0,0
anticipate,B2,1,1
anticipation,B2,1,1
anticlimactic,C1,0,0
anticlimactically,C2,0,0
antics,C1,0,0
antidote,C2,1,0
antipollution,B2,0,0
antiquate,C2,1,0
antiquated,C1,1,0
antique,B2,1,1
antiquity,C1,1,0
antistatic,B2,0,0
antithesis,C2,0,0
antithetical,C2,0,0
antivirus,B2,0,0
antonym,B1,1,1
anxiety,B1,1,1
anxious,A2,1,1
anxiously,B1,0,1
any,A1,0,1
anybody,A1,1,1
anyhow,B1,0,1
anymore,A2,1,0
anyone,A1,1,1
anything,A1,0,1
anytime,A2,1,0
anyway,A2,1,1
anywhere,A2,1,1
apart,A2,1,1
apartment,A2,1,1
ape,B1,1,1
apologize/apologise,A2,1,1
apology,B1,1,1
apostle,C2,1,0
apostrophe,B2,0,0
appall/appal,C1,1,0
appalling,C1,0,0
appallingly,C1,0,0
apparatus,B1,1,1
apparent,B1,1,1
apparently,A2,1,1
appeal,B1,1,1
appealing,B2,1,1
appear,A2,0,1
appearance,A2,1,1
appendix,B2,1,1
appetite,B1,1,1
applaud,B1,1,1
applause,B1,1,1
apple,A1,1,1
appliance,C1,1,1
applicable,B1,1,1
applicant,B2,1,1
application,B1,1,1
apply,A2,1,1
appoint,B1,1,1
appointment,A2,1,1
appreciable,B2,1,1
appreciably,C1,0,1
appreciate,A2,1,1
appreciation,B1,1,1
appreciative,B2,0,1
apprehend,C2,1,0
apprehensive,C1,0,0
apprentice,C1,1,1
apprenticeship,C1,0,0
apprise,C2,0,1
approach,B1,1,1
appropriate,A2,1,1
appropriately,B2,0,0
approval,B1,1,1
approve,B1,1,1
approximate,B2,1,1
approximately,B1,1,1
approximation,B2,1,1
April,A1,0,1
apron,A1,0,0
apt,C1,1,1
apt to,C1,0,0
aptitude,C2,0,1
aqua,C1,0,0
aquarium,C1,1,0
aquatic,B1,1,0
Arab,B1,0,1
Arabian,B2,0,1
Arabic,B2,0,1
arbitrary,C2,1,1
arbitrate,C1,1,1
arbitration,B2,0,1
arbitrator,C1,0,1
arc,B1,1,1
arcane,C2,0,0
arcanely,C2,0,0
arch,B2,1,1
archaeological,B2,1,0
archaeologist/archeologist,B2,0,1
archaeology,C1,1,1
archetypal,C2,0,0
archetype,C2,1,0
architect,B1,1,1
architectural,B2,1,0
architecture,A2,1,1
archival,C2,0,0
arctic,B2,1,1
ardent,B2,1,1
ardor/ardour,C2,1,0
arduous,C2,1,1
arduously,C2,0,0
are,A1,0,0
area,A2,0,1
arena,B2,1,1
argue,A2,1,1
argument,A2,1,1
